feature,importance
offline_duration_sec_r7d,0.13518002151875677
offline_duration_sec_r7d_sum,0.10788885272558334
read_rate,0.09178659360067523
offline_duration_sec_r28d,0.0643014428678515
offline_duration_sec_r28d_sum,0.04186563224880502
read_rate_4w,0.03416821991037865
rsrp_bad_share_r28d,0.024258012056243516
online_duration_mins_r7d,0.024176273878285946
disconnection_cnt_r7d_sum,0.02083843534275763
rx_nr_pkts_r7d,0.020474056113673644
tx_success_r28d,0.018626464938092495
disconnection_cnt_r28d,0.018562550742986173
disconnection_cnt_r7d,0.017940831523507356
reboot_duration_sec_r7d_sum,0.017530011212025538
ecio_bad_share_r7d,0.017017955188081017
reboot_duration_sec_r7d,0.016636075331660276
number_of_messages_r28d_sum,0.015438769038183336
rssi_bad_share_r28d,0.015274716993957759
tx_override_r28d,0.015029581991056517
crc_bad_rate_r28d,0.01490943867358146
number_of_messages_r7d_sum,0.014689577307038749
crc_bad_rate_r7d,0.01439661427229143
online_duration_mins_r28d,0.014142823292332053
number_of_messages_r7d,0.01396921441075904
ecio_bad_share_r28d,0.01283980291374303
disconnection_cnt_r28d_sum,0.012800855108385864
rx_crc_bad_r7d,0.012659862172576478
meters_read,0.012553617252254063
tx_success_r7d,0.01226274186752598
rx_crc_bad_r28d,0.010753926762161194
rssi_bad_share_r7d,0.010560722994884527
number_of_messages_r28d,0.010548476956994388
meters_expected,0.010039956020955431
rx_nr_pkts_r28d,0.010005475220152875
reboot_duration_sec_r28d_sum,0.009372513243810856
rsrp_bad_share_r7d,0.009005548663784776
reboot_cnt_r28d_sum,0.008663528716240898
reboot_cnt_r7d,0.008659462555508233
reboot_cnt_r28d,0.008478625893854981
reboot_duration_sec_r28d,0.008331330042843355
tx_override_r7d,0.0073225793417656315
reboot_cnt_r7d_sum,0.0071061526353422885
tx_busy_r28d,0.006710500618642864
tx_busy_rate_r28d,0.004442207909595255
r_cnt_power_cycle_r7d_sum,0.003871607839492657
r_cnt_power_cycle_r28d,0.0035509153673463443
r_cnt_power_cycle_r28d_sum,0.003142551584604514
r_cnt_power_cycle_r7d,0.002899554897933975
telemetry_days_28d,0.0028647532954465538
tx_busy_rate_r7d,0.0006586800815561244
tx_busy_r7d,0.0004908311613273323
telemetry_days_7d,0.00030105370270513374
